"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSMMUG00000065340"," ","ENSMMUG00000065340",NA,"lncRNA","Macaque","1",159.990074,"",40.02,1,23033,NA,691,NA,NA,3
"ENSMMUG00000064339"," ","ENSMMUG00000064339",NA,"lncRNA","Macaque","1",161.464909,"",41.15,1,11994,NA,1308,NA,NA,4
"ENSMMUG00000063165"," ","ENSMMUG00000063165",NA,"lncRNA","Macaque","1",200.804277,"",41.18,1,9688,NA,1415,NA,NA,2
"ENSMMUG00000050086"," ","ENSMMUG00000050086",NA,"lncRNA","Macaque","1",222.997923,"",55.43,1,4842,NA,2157,NA,NA,2
"ENSMMUG00000059008"," ","ENSMMUG00000059008",NA,"lncRNA","Macaque","2",11.727429,"",36.42,1,112709,NA,1749,NA,NA,3
"ENSMMUG00000056101"," ","ENSMMUG00000056101",NA,"lncRNA","Macaque","3",135.27764,"",35.82,2,198396,NA,1021,NA,NA,2
"ENSMMUG00000059658"," ","ENSMMUG00000059658",NA,"lncRNA","Macaque","6",60.213107,"",38.66,1,70559,NA,5553,NA,NA,2
"ENSMMUG00000058463"," ","ENSMMUG00000058463",NA,"lncRNA","Macaque","6",163.9134,"",36.69,1,89476,NA,1543,NA,NA,3
"ENSMMUG00000058457"," ","ENSMMUG00000058457",NA,"lncRNA","Macaque","7",6.798124,"",52.82,1,1403,NA,1326,NA,NA,2
"ENSMMUG00000059479"," ","ENSMMUG00000059479",NA,"lncRNA","Macaque","7",6.994065,"",50.25,1,57521,NA,1984,NA,NA,11
"ENSMMUG00000057832"," ","ENSMMUG00000057832",NA,"lncRNA","Macaque","8",133.453529,"",44.61,1,4994,NA,543,NA,NA,3
"ENSMMUG00000051067"," ","ENSMMUG00000051067",NA,"lncRNA","Macaque","9",80.060232,"",36.72,1,219059,NA,851,NA,NA,3
"ENSMMUG00000064939"," ","ENSMMUG00000064939",NA,"lncRNA","Macaque","10",97.62988,"",59.86,1,7451,NA,3047,NA,NA,2
"ENSMMUG00000064061"," ","ENSMMUG00000064061",NA,"lncRNA","Macaque","15",1.606924,"",54.91,3,4489,NA,2625,NA,NA,3
"ENSMMUG00000049584"," ","ENSMMUG00000049584",NA,"lncRNA","Macaque","19",1.883966,"",60.64,1,2363,NA,1850,NA,NA,2
"ENSMMUG00000063346"," ","ENSMMUG00000063346",NA,"lncRNA","Macaque","X",0.938919,"",48.84,1,15005,NA,1692,NA,NA,3
"ENSMMUG00000058912"," ","ENSMMUG00000058912",NA,"lncRNA","Macaque","X",1.03945,"",55.15,1,14984,NA,1831,NA,NA,3
"ENSMMUG00000050278"," Metazoa_SRP","ENSMMUG00000050278",NA,"misc_RNA","Macaque","1",220.044961,"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]",53.85,1,117,NA,117,NA,NA,1
"ENSMMUG00000062684"," Metazoa_SRP","ENSMMUG00000062684",NA,"misc_RNA","Macaque","3",132.22126,"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]",57.26,1,117,NA,117,NA,NA,1
"ENSMMUG00000055405"," ","ENSMMUG00000055405",NA,"protein_coding","Macaque","1",54.61804,"",35.8,1,1324,312,312,NA,NA,3
"ENSMMUG00000060620"," C1H1orf53","ENSMMUG00000060620",710736,"protein_coding","Macaque","1",55.325,"chromosome 1 C1orf53 homolog [Source:VGNC Symbol;Acc:VGNC:106329]",41.07,1,4633,438,438,NA,NA,3
"ENSMMUG00000000009"," PTPRC","ENSMMUG00000000009",712657,"protein_coding","Macaque","1",56.06028,"protein tyrosine phosphatase receptor type C [Source:VGNC Symbol;Acc:VGNC:76612]",34.76,6,122446,3683,4218,48,942,31
"ENSMMUG00000063678"," INAVA","ENSMMUG00000063678",710962,"protein_coding","Macaque","1",58.318827,"innate immunity activator [Source:VGNC Symbol;Acc:VGNC:106387]",53.49,1,26957,2112,7133,332,4689,10
"ENSMMUG00000013500"," TMEM9","ENSMMUG00000013500",708473,"protein_coding","Macaque","1",58.561694,"transmembrane protein 9 [Source:VGNC Symbol;Acc:VGNC:79162]",48.64,5,40354,552,2371,64,1676,6
"ENSMMUG00000061689"," PHLDA3","ENSMMUG00000061689",709782,"protein_coding","Macaque","1",58.878761,"pleckstrin homology like domain family A member 3 [Source:VGNC Symbol;Acc:VGNC:106471]",52.34,1,12181,384,2006,344,426,3
"ENSMMUG00000031357"," ARL8A","ENSMMUG00000031357",706361,"protein_coding","Macaque","1",59.57491,"ADP ribosylation factor like GTPase 8A [Source:VGNC Symbol;Acc:VGNC:69900]",53.16,2,10667,516,1856,127,1213,6
"ENSMMUG00000003998"," PPP1R12B","ENSMMUG00000003998",705775,"protein_coding","Macaque","1",59.784448,"protein phosphatase 1 regulatory subunit 12B [Source:VGNC Symbol;Acc:VGNC:76363]",39.05,9,230020,2762,3597,210,2363,22
"ENSMMUG00000015233"," KDM5B","ENSMMUG00000015233",706437,"protein_coding","Macaque","1",60.157037,"lysine demethylase 5B [Source:VGNC Symbol;Acc:VGNC:73847]",41.7,4,84832,4599,5040,144,1618,27
"ENSMMUG00000058670"," ","ENSMMUG00000058670",NA,"protein_coding","Macaque","1",60.275112,"",49.19,1,12038,489,2108,763,428,2
"ENSMMUG00000021642"," FMOD","ENSMMUG00000021642",703048,"protein_coding","Macaque","1",60.846157,"fibromodulin [Source:VGNC Symbol;Acc:VGNC:72686]",49.45,2,12830,1131,4434,209,2130,4
"ENSMMUG00000064841"," GOLT1A","ENSMMUG00000064841",700305,"protein_coding","Macaque","1",61.703457,"golgi transport 1A [Source:VGNC Symbol;Acc:VGNC:72997]",48.55,4,17797,493,2438,154,1907,4
"ENSMMUG00000049565"," NUAK2","ENSMMUG00000049565",700529,"protein_coding","Macaque","1",62.825225,"NUAK family kinase 2 [Source:VGNC Symbol;Acc:VGNC:75484]",51.3,1,22019,1887,5477,52,3538,7
"ENSMMUG00000022614"," SRGAP2","ENSMMUG00000022614",695724,"protein_coding","Macaque","1",63.724986,"SLIT-ROBO Rho GTPase activating protein 2 [Source:VGNC Symbol;Acc:VGNC:99699]",42.57,7,249264,2926,4170,429,1826,22
"ENSMMUG00000011711"," CD55","ENSMMUG00000011711",714370,"protein_coding","Macaque","1",64.725221,"CD55 molecule [Source:VGNC Symbol;Acc:VGNC:99865]",38.17,7,146300,1285,1475,166,499,10
"ENSMMUG00000010931"," TM2D1","ENSMMUG00000010931",694282,"protein_coding","Macaque","1",162.726593,"TM2 domain containing 1 [Source:VGNC Symbol;Acc:VGNC:79421]",39.9,2,41539,616,2224,12,798,6
"ENSMMUG00000060520"," ","ENSMMUG00000060520",114672614,"protein_coding","Macaque","1",179.143894,"",48.07,1,414,414,414,NA,NA,1
