"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSMMUG00000060588"," ","ENSMMUG00000060588",NA,"IG_V_gene","Macaque","10",30.895499,"",53.67,1,354,354,354,NA,NA,1
"ENSMMUG00000049494"," ","ENSMMUG00000049494",NA,"lncRNA","Macaque","1",126.086177,"",45.8,1,3166,NA,1287,NA,NA,3
"ENSMMUG00000057102"," ","ENSMMUG00000057102",NA,"lncRNA","Macaque","1",129.796121,"",42.08,2,22974,NA,1256,NA,NA,2
"ENSMMUG00000061849"," ","ENSMMUG00000061849",NA,"lncRNA","Macaque","1",156.889913,"",43.08,2,98887,NA,3482,NA,NA,2
"ENSMMUG00000046173"," ","ENSMMUG00000046173",NA,"lncRNA","Macaque","1",159.356938,"",39.65,1,5546,NA,2102,NA,NA,3
"ENSMMUG00000060711"," ","ENSMMUG00000060711",NA,"lncRNA","Macaque","1",212.562631,"",48.75,1,3686,NA,2529,NA,NA,2
"ENSMMUG00000051024"," ","ENSMMUG00000051024",NA,"lncRNA","Macaque","1",215.044845,"",48.88,2,16777,NA,1894,NA,NA,4
"ENSMMUG00000049882"," ","ENSMMUG00000049882",NA,"lncRNA","Macaque","3",31.62389,"",41.55,1,2431,NA,2032,NA,NA,2
"ENSMMUG00000051595"," ","ENSMMUG00000051595",NA,"lncRNA","Macaque","4",16.543774,"",33.87,1,3313,NA,1174,NA,NA,2
"ENSMMUG00000054084"," ","ENSMMUG00000054084",NA,"lncRNA","Macaque","4",167.467518,"",52.17,2,8179,NA,1824,NA,NA,6
"ENSMMUG00000051939"," ","ENSMMUG00000051939",NA,"lncRNA","Macaque","6",72.590336,"",40.02,1,17892,NA,1056,NA,NA,2
"ENSMMUG00000057397"," ","ENSMMUG00000057397",NA,"lncRNA","Macaque","6",123.720579,"",37.38,1,100152,NA,1682,NA,NA,2
"ENSMMUG00000059241"," ","ENSMMUG00000059241",NA,"lncRNA","Macaque","6",156.825541,"",42.94,1,75027,NA,2284,NA,NA,4
"ENSMMUG00000062857"," ","ENSMMUG00000062857",NA,"lncRNA","Macaque","7",98.009585,"",39.52,1,125966,NA,791,NA,NA,3
"ENSMMUG00000062871"," ","ENSMMUG00000062871",NA,"lncRNA","Macaque","7",98.142508,"",37.52,1,85753,NA,2316,NA,NA,2
"ENSMMUG00000060860"," ","ENSMMUG00000060860",NA,"lncRNA","Macaque","7",117.135984,"",38.45,1,15455,NA,334,NA,NA,3
"ENSMMUG00000053658"," ","ENSMMUG00000053658",NA,"lncRNA","Macaque","7",126.946459,"",39.83,1,9981,NA,1611,NA,NA,2
