chromosome,start,context,cluster,methylation_diff,p_value,q_value,direction
chr1,53900000,mCG,c0,0.0058762450512099,0.0371753969838011,0.2347289766103089,Increased in Stressed
chr1,54000000,mCG,c0,0.0060025276441926,0.0343748552169241,0.2347289766103089,Increased in Stressed
chr1,54100000,mCG,c0,0.0061293418239884,0.0317565928714909,0.2347289766103089,Increased in Stressed
chr1,54200000,mCG,c0,0.0062566967413362,0.0293112220061821,0.2347289766103089,Increased in Stressed
chr1,54300000,mCG,c0,0.0063845950499592,0.021080909372252,0.2347289766103089,Increased in Stressed
chr1,54400000,mCG,c0,0.0065130383011873,0.01778035324729,0.2347289766103089,Increased in Stressed
chr1,54500000,mCG,c0,0.0066420030424345,0.0193692804428477,0.2347289766103089,Increased in Stressed
chr1,54600000,mCG,c0,0.0067714561232141,0.021080909372252,0.2347289766103089,Increased in Stressed
chr1,54700000,mCG,c0,0.0069013257930596,0.0193692804428477,0.2347289766103089,Increased in Stressed
chr1,54800000,mCG,c0,0.0070314984869859,0.01778035324729,0.2347289766103089,Increased in Stressed
chr1,54900000,mCG,c0,0.0071618591238629,0.01778035324729,0.2347289766103089,Increased in Stressed
chr1,55000000,mCG,c0,0.0072922923301814,0.0136782668396458,0.2347289766103089,Increased in Stressed
chr1,55100000,mCG,c0,0.0074226962109229,0.01778035324729,0.2347289766103089,Increased in Stressed
chr1,55200000,mCG,c0,0.0075529919558641,0.01778035324729,0.2347289766103089,Increased in Stressed
chr1,55300000,mCG,c0,0.0076830924920043,0.0149416932334276,0.2347289766103089,Increased in Stressed
chr1,55400000,mCG,c0,0.0078128933036261,0.0163068237085089,0.2347289766103089,Increased in Stressed
chr1,55500000,mCG,c0,0.0079422674271705,0.0193692804428477,0.2347289766103089,Increased in Stressed
chr1,55600000,mCG,c0,0.0080710813334761,0.0193692804428477,0.2347289766103089,Increased in Stressed
chr1,55700000,mCG,c0,0.0081992061812576,0.02292285033304,0.2347289766103089,Increased in Stressed
chr1,55800000,mCG,c0,0.0083264892627843,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,55900000,mCG,c0,0.0084527567340193,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,56000000,mCG,c0,0.0085778364969535,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,56100000,mCG,c0,0.0087015654799549,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,56200000,mCG,c0,0.0088238159504239,0.0343748552169241,0.2347289766103089,Increased in Stressed
chr1,56300000,mCG,c0,0.0089444639208422,0.0343748552169241,0.2347289766103089,Increased in Stressed
chr1,56400000,mCG,c0,0.0090633913799038,0.0343748552169241,0.2347289766103089,Increased in Stressed
chr1,56500000,mCG,c0,0.0091805125761064,0.0317565928714909,0.2347289766103089,Increased in Stressed
chr1,56600000,mCG,c0,0.0092957375779363,0.0371753969838011,0.2347289766103089,Increased in Stressed
chr1,56700000,mCG,c0,0.0094089810816702,0.0317565928714909,0.2347289766103089,Increased in Stressed
chr1,56800000,mCG,c0,0.00952017464407,0.0293112220061821,0.2347289766103089,Increased in Stressed
chr1,56900000,mCG,c0,0.009629281971432,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,57000000,mCG,c0,0.0097362892458976,0.0293112220061821,0.2347289766103089,Increased in Stressed
chr1,57100000,mCG,c0,0.0098411965226501,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,57200000,mCG,c0,0.0099440234360637,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,57300000,mCG,c0,0.0100448013234535,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,57400000,mCG,c0,0.0101435432374268,0.0317565928714909,0.2347289766103089,Increased in Stressed
chr1,57500000,mCG,c0,0.0102402480975909,0.0293112220061821,0.2347289766103089,Increased in Stressed
chr1,57600000,mCG,c0,0.0103349046452954,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,57700000,mCG,c0,0.0104275078567799,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,57800000,mCG,c0,0.0105180596029612,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,57900000,mCG,c0,0.0106065519425133,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,58000000,mCG,c0,0.0106930217200487,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,58100000,mCG,c0,0.010777541432025,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,58200000,mCG,c0,0.0108602036421945,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,58300000,mCG,c0,0.010941104858533,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,58400000,mCG,c0,0.0110203496072918,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,58500000,mCG,c0,0.0110980271107694,0.0293112220061821,0.2347289766103089,Increased in Stressed
chr1,58600000,mCG,c0,0.0111741905669155,0.0293112220061821,0.2347289766103089,Increased in Stressed
chr1,58700000,mCG,c0,0.0112488201289624,0.0317565928714909,0.2347289766103089,Increased in Stressed
chr1,58800000,mCG,c0,0.0113218624566193,0.0317565928714909,0.2347289766103089,Increased in Stressed
chr1,58900000,mCG,c0,0.0113932778483585,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,59000000,mCG,c0,0.0114630167578293,0.0293112220061821,0.2347289766103089,Increased in Stressed
chr1,59100000,mCG,c0,0.0115310317439931,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,59200000,mCG,c0,0.0115972755963842,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,59300000,mCG,c0,0.0116617166732879,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,59400000,mCG,c0,0.0117243303451659,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,59500000,mCG,c0,0.0117851157181909,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,59600000,mCG,c0,0.011844049164827,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,59700000,mCG,c0,0.0119010801465591,0.02292285033304,0.2347289766103089,Increased in Stressed
chr1,59800000,mCG,c0,0.0119561532625325,0.021080909372252,0.2347289766103089,Increased in Stressed
chr1,59900000,mCG,c0,0.0120091873634486,0.021080909372252,0.2347289766103089,Increased in Stressed
chr1,60000000,mCG,c0,0.0120600859583648,0.0193692804428477,0.2347289766103089,Increased in Stressed
chr1,60100000,mCG,c0,0.0121087336032092,0.02292285033304,0.2347289766103089,Increased in Stressed
chr1,60200000,mCG,c0,0.0121550045224112,0.02292285033304,0.2347289766103089,Increased in Stressed
chr1,60300000,mCG,c0,0.0121987669620011,0.02292285033304,0.2347289766103089,Increased in Stressed
chr1,60400000,mCG,c0,0.0122398655149167,0.02292285033304,0.2347289766103089,Increased in Stressed
chr1,60500000,mCG,c0,0.0122781462688741,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,60600000,mCG,c0,0.0123134660025936,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,60700000,mCG,c0,0.012345690071879,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,60800000,mCG,c0,0.0123747210450515,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,60900000,mCG,c0,0.0124004994236357,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,61000000,mCG,c0,0.0124229617338433,0.0270296363649138,0.2347289766103089,Increased in Stressed
chr1,61100000,mCG,c0,0.0124420431153466,0.0249030193506095,0.2347289766103089,Increased in Stressed
chr1,61200000,mCG,c0,0.0124576883566953,0.02292285033304,0.2347289766103089,Increased in Stressed
chr1,61300000,mCG,c0,0.0124698648342476,0.02292285033304,0.2347289766103089,Increased in Stressed
chr1,61400000,mCG,c0,0.012478523256393,0.021080909372252,0.2347289766103089,Increased in Stressed
chr1,61500000,mCG,c0,0.0124835868067287,0.021080909372252,0.2347289766103089,Increased in Stressed
chr1,61600000,mCG,c0,0.0124849997448353,0.01778035324729,0.2347289766103089,Increased in Stressed
chr1,61700000,mCG,c0,0.0124827076912905,0.01778035324729,0.2347289766103089,Increased in Stressed
chr1,61800000,mCG,c0,0.0124766287905901,0.02292285033304,0.2347289766103089,Increased in Stressed
chr1,61900000,mCG,c0,0.0124666365927723,0.02292285033304,0.2347289766103089,Increased in Stressed
chr1,62000000,mCG,c0,0.0124526145926047,0.021080909372252,0.2347289766103089,Increased in Stressed
chr1,62100000,mCG,c0,0.0124344537102127,0.021080909372252,0.2347289766103089,Increased in Stressed
chr1,62200000,mCG,c0,0.012412076860196,0.021080909372252,0.2347289766103089,Increased in Stressed
chr1,62300000,mCG,c0,0.0123854367024891,0.021080909372252,0.2347289766103089,Increased in Stressed
chr1,62400000,mCG,c0,0.0123544963303834,0.0193692804428477,0.2347289766103089,Increased in Stressed
chr1,62500000,mCG,c0,0.0123192378840288,0.0193692804428477,0.2347289766103089,Increased in Stressed
chr1,62600000,mCG,c0,0.0122796661834916,0.021080909372252,0.2347289766103089,Increased in Stressed
