"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSMMUG00000058463"," ","ENSMMUG00000058463",NA,"lncRNA","Macaque","6",163.9134,"",36.69,1,89476,NA,1543,NA,NA,3
"ENSMMUG00000054259"," ","ENSMMUG00000054259",NA,"lncRNA","Macaque","7",54.800654,"",52.82,2,6250,NA,3230,NA,NA,2
"ENSMMUG00000055433"," ","ENSMMUG00000055433",NA,"lncRNA","Macaque","7",58.954837,"",37.32,2,47535,NA,801,NA,NA,3
"ENSMMUG00000062160"," ","ENSMMUG00000062160",NA,"lncRNA","Macaque","12",33.074678,"",36.38,2,40896,NA,594,NA,NA,3
"ENSMMUG00000054625"," ","ENSMMUG00000054625",NA,"lncRNA","Macaque","17",60.642515,"",37.16,2,55891,NA,972,NA,NA,2
"ENSMMUG00000060320"," ","ENSMMUG00000060320",NA,"lncRNA","Macaque","17",61.555241,"",30.93,1,2719,NA,1322,NA,NA,2
"ENSMMUG00000054120"," ","ENSMMUG00000054120",NA,"lncRNA","Macaque","20",72.437246,"",56.65,1,92524,NA,3694,NA,NA,2
"ENSMMUG00000004116"," SLC45A3","ENSMMUG00000004116",697420,"protein_coding","Macaque","1",63.17999,"solute carrier family 45 member 3 [Source:VGNC Symbol;Acc:VGNC:77817]",54.04,4,24117,1420,2749,154,1360,4
"ENSMMUG00000055835"," NUCKS1","ENSMMUG00000055835",697298,"protein_coding","Macaque","1",63.236871,"nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:VGNC Symbol;Acc:VGNC:75490]",39.39,2,36432,740,5494,NA,4754,6
"ENSMMUG00000022062"," TRAF3IP3","ENSMMUG00000022062",712895,"protein_coding","Macaque","1",67.261375,"TRAF3 interacting protein 3 [Source:VGNC Symbol;Acc:VGNC:79877]",45.61,4,26441,1677,1780,96,NA,15
"ENSMMUG00000042475"," ","ENSMMUG00000042475",719963,"protein_coding","Macaque","1",89.665635,"",44.92,1,25821,267,1487,59,580,3
"ENSMMUG00000020157"," GBP6","ENSMMUG00000020157",695271,"protein_coding","Macaque","1",135.092368,"guanylate binding protein family member 6 [Source:VGNC Symbol;Acc:VGNC:104705]",39.14,1,15168,1902,1925,23,NA,10
"ENSMMUG00000015240"," GRM8","ENSMMUG00000015240",697465,"protein_coding","Macaque","3",152.900219,"glutamate metabotropic receptor 8 [Source:VGNC Symbol;Acc:VGNC:73292]",37.6,1,799268,2727,3536,237,286,10
"ENSMMUG00000005682"," HECA","ENSMMUG00000005682",702628,"protein_coding","Macaque","4",42.775304,"hdc homolog, cell cycle regulator [Source:VGNC Symbol;Acc:VGNC:73207]",41.97,1,41637,1632,1648,NA,16,4
"ENSMMUG00000016164"," TMED3","ENSMMUG00000016164",711993,"protein_coding","Macaque","7",56.612712,"transmembrane p24 trafficking protein 3 [Source:VGNC Symbol;Acc:VGNC:79750]",49.32,1,10716,660,1478,209,609,3
"ENSMMUG00000056992"," ZFAND6","ENSMMUG00000056992",717543,"protein_coding","Macaque","7",57.349259,"zinc finger AN1-type containing 6 [Source:NCBI gene (formerly Entrezgene);Acc:717543]",38.62,7,82424,624,1551,96,786,7
"ENSMMUG00000049824"," ","ENSMMUG00000049824",NA,"protein_coding","Macaque","7",58.030491,"",41.74,2,51137,285,1794,133,1243,3
"ENSMMUG00000002038"," CEMIP","ENSMMUG00000002038",717880,"protein_coding","Macaque","7",58.104564,"cell migration inducing hyaluronidase 1 [Source:VGNC Symbol;Acc:VGNC:71130]",46.46,3,173894,4012,8127,54,4018,28
"ENSMMUG00000009409"," MESD","ENSMMUG00000009409",712993,"protein_coding","Macaque","7",58.271919,"mesoderm development LRP chaperone [Source:VGNC Symbol;Acc:VGNC:74507]",44.86,2,41713,705,1666,39,461,4
