"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSMMUG00000053569"," ","ENSMMUG00000053569",NA,"lncRNA","Macaque","2",120.220086,"",45.84,1,1645,NA,1053,NA,NA,2
"ENSMMUG00000063944"," ","ENSMMUG00000063944",NA,"lncRNA","Macaque","7",39.349928,"",44.55,1,1870,NA,1365,NA,NA,2
"ENSMMUG00000049645"," ","ENSMMUG00000049645",NA,"lncRNA","Macaque","12",0.206761,"",38.67,1,3256,NA,2945,NA,NA,2
"ENSMMUG00000063784"," ","ENSMMUG00000063784",NA,"lncRNA","Macaque","12",3.106795,"",42.44,1,6843,NA,6142,NA,NA,2
"ENSMMUG00000045787"," ","ENSMMUG00000045787",NA,"lncRNA","Macaque","14",23.115185,"",38.34,1,28208,NA,1581,NA,NA,4
"ENSMMUG00000055635"," ","ENSMMUG00000055635",NA,"lncRNA","Macaque","14",23.839473,"",39.06,1,23993,NA,3502,NA,NA,3
"ENSMMUG00000058188"," ","ENSMMUG00000058188",NA,"lncRNA","Macaque","15",72.81261,"",37.58,2,44554,NA,1462,NA,NA,2
"ENSMMUG00000050267"," ","ENSMMUG00000050267",NA,"lncRNA","Macaque","19",27.443124,"",34.86,1,4332,NA,713,NA,NA,4
"ENSMMUG00000004070"," RRP15","ENSMMUG00000004070",707743,"protein_coding","Macaque","1",75.782974,"ribosomal RNA processing 15 homolog [Source:VGNC Symbol;Acc:VGNC:100067]",38.38,1,43884,858,858,NA,NA,5
"ENSMMUG00000063008"," APOD","ENSMMUG00000063008",709223,"protein_coding","Macaque","2",2.403501,"apolipoprotein D [Source:VGNC Symbol;Acc:VGNC:69988]",48.88,1,11504,570,988,82,253,5
"ENSMMUG00000000265"," ADAMTS9","ENSMMUG00000000265",698341,"protein_coding","Macaque","2",120.658454,"ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:VGNC Symbol;Acc:VGNC:69388]",39.97,1,168414,5808,5813,NA,5,39
"ENSMMUG00000015240"," GRM8","ENSMMUG00000015240",697465,"protein_coding","Macaque","3",152.900219,"glutamate metabotropic receptor 8 [Source:VGNC Symbol;Acc:VGNC:73292]",37.6,1,799268,2727,3536,237,286,10
"ENSMMUG00000011503"," TLN2","ENSMMUG00000011503",705008,"protein_coding","Macaque","7",38.899629,"talin 2 [Source:VGNC Symbol;Acc:VGNC:78385]",43.6,7,394455,7589,7943,118,NA,57
"ENSMMUG00000029603"," PCLAF","ENSMMUG00000029603",100423080,"protein_coding","Macaque","7",40.865443,"PCNA clamp associated factor [Source:NCBI gene (formerly Entrezgene);Acc:100423080]",44.38,2,18667,267,510,93,392,4
"ENSMMUG00000001247"," ZNF609","ENSMMUG00000001247",707377,"protein_coding","Macaque","7",41.01032,"zinc finger protein 609 [Source:VGNC Symbol;Acc:VGNC:79764]",42.95,2,196861,4238,6480,66,2176,8
"ENSMMUG00000008006"," RAB11A","ENSMMUG00000008006",714144,"protein_coding","Macaque","7",42.432434,"RAB11A, member RAS onco family [Source:VGNC Symbol;Acc:VGNC:81517]",40.02,3,23052,637,1761,97,3276,5
"ENSMMUG00000008007"," MEGF11","ENSMMUG00000008007",714198,"protein_coding","Macaque","7",42.46205,"multiple EGF like domains 11 [Source:VGNC Symbol;Acc:VGNC:84376]",49.21,2,378734,3051,3129,78,1,22
