chromosome,region_start,region_end,gene_id,gene_name,gene_start,gene_end,methylation_diff,p_value,q_value,direction
chr1,73900000,74000000,ENSMMUG00000022640,SUCO,73118733,73924436,0.0256012826427501,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74000000,74100000,ENSMMUG00000014167,SUN2,74001957,74592276,0.0255801223608445,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74100000,74200000,ENSMMUG00000014167,SUN2,74001957,74592276,0.0255564559440544,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74200000,74300000,ENSMMUG00000014167,SUN2,74001957,74592276,0.0255303778885839,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74300000,74400000,ENSMMUG00000014167,SUN2,74001957,74592276,0.0255019599818333,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74400000,74500000,ENSMMUG00000014167,SUN2,74001957,74592276,0.0254712908563877,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74500000,74600000,ENSMMUG00000014167,SUN2,74001957,74592276,0.025438396157695,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74800000,74900000,ENSMMUG00000060193,,74815902,74818414,0.0253271793349051,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74800000,74900000,ENSMMUG00000063390,,74830924,74904784,0.0253271793349051,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74900000,75000000,ENSMMUG00000063390,,74830924,74904784,0.0252864937098706,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74900000,75000000,ENSMMUG00000056106,RPRD2,74912909,74929824,0.0252864937098706,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74900000,75000000,ENSMMUG00000014946,CROCC,74929881,75133918,0.0252864937098706,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,75000000,75100000,ENSMMUG00000014946,CROCC,74929881,75133918,0.0252442525043238,0.0401678780820709,0.5981203220194612,Increased in Stressed
chr1,75100000,75200000,ENSMMUG00000014946,CROCC,74929881,75133918,0.0252005239035099,0.0401678780820709,0.5981203220194612,Increased in Stressed
chr1,75100000,75200000,ENSMMUG00000007213,ZNF334,75134324,75366848,0.0252005239035099,0.0401678780820709,0.5981203220194612,Increased in Stressed
